Marca temporal,Naciste en Antas?,Cual es tu edad?,¿trabajas en Antas? ,En caso de trabajar fuera ¿donde?,¿Dónde etiquetarías tu trabajo?,¿Cuántos años lleva usted viviendo en antas?,Cuál es su nivel de estudios?,Nivel de renta (en bruto) al año,¿Tienes deudas con los bancos?,¿Ahorras una parte de tu salario?,¿Qué opinas de los impuestos?,Cuanto gastas en electricidad mensualmente,¿Estarías de acuerdo con que el ayuntamiento ayudase con las facturas de luz de los vecinos?,¿Cómo calificarías tu estado de salud general?,¿Tienes alguna condición médica crónica?,¿Con que frecuencia realizas deporte?,¿Cómo describirías la calidad de sueño?,¿Cómo describirías el equilibrio de tu alimentación?,"¿Estás satisfecho con los servicios de salud disponibles en Antas? En caso de ser no, ¿porque?",¿Has estado alguna vez en el psicólogo y/o psiquiatra?,¿Crees que ir al psicólogo implica algún estigma?,¿Crees que el ayuntamiento debería ayudar a financiar los tratamientos psicológicos de los vecinos?,¿Cuál es tu opinión sobre el cambio climático?,¿Crees que el pueblo necesita una piscina pública?,¿Qué opinión le merece el coche electrico?,¿Cual es la solución para las sequias en Almería?,¿El ayuntamiento debe hacer políticas activas para proteger el agua de Antas?,¿Consideras que la gestión de residuos en Antas es efectiva?,¿Te gustaría ver más áreas verdes o espacios públicos orientados a la sostenibilidad en Antas?,¿Crees que la Inteligencia artificial y las nuevas tecnologías son beneficiosas para la sociedad?,¿Cuál crees que son las carreras profesionales con más futuro? puedes elegir más de una opción.,¿Crees que el municipio de Antas ofrece suficientes oportunidades de empleo para los jóvenes?,¿Piensas que la conexión de Antas con las ciudades cercanas es adecuada para el desarrollo económico del municipio?,Antas es el municipio con mas empresas por habitante de Andalucía ¿por que crees que es esto?,¿consideras que es fácil montar una empresa en Antas?,¿Cómo valoras la calidad de los trabajos que hay en el municipio?,¿Cómo valorarías el pueblo de antas? elige todas las etiquetas con las que estés de acuerdo,¿Qué opinas sobre el nivel de limpieza y mantenimiento en las áreas públicas de Antas?,¿Cómo valoras el nivel de infraestructuras existentes en el pueblo?,"Cual de estas infraestructuras crees que son las mas urgentes para el pueblo? puedes elegir un máximo de 3, no es necesario que marques las 3.",¿De todas las opciones anteriores cual es la mas urgente?,¿Te gustaría que los presupuestos generales del ayuntamiento fuesen mas participativos?,¿Te gustaría que se hiciese una política innovadora de embellecimiento del pueblo? puede elegir todas las que este de acuerdo,¿Se te ocurre alguna otra medida de embellecimiento?,¿Qué expectativas tienes sobre el crecimiento del pueblo de Antas?,¿Cuál crees que es el principal problema del municipio?,¿Te gustaría que Antas creciera y fuese un pueblo más grande?,¿Crees que el ayuntamiento está haciendo lo suficiente para promover y preservar su patrimonio y tradiciones culturales?,¿Cómo valoras el patrimonio histórico de la cultura  Argarica?,¿Crees que se debe invertir más dinero en fomentar nuestra cultura argárica de cara al resto de España?,¿Crees que la feria de Antas debería ser un evento donde el ayuntamiento debe hacer un gran desembolso de dinero?,¿Cómo valoras la actividad social del pueblo?,¿Estás satisfecho con las opciones de actividades deportivas disponibles en Antas para niños y jóvenes?,"¿Crees que  la oferta de servicios deportivos en las escuelas municipales es adecuada? En caso de ser no la respuesta, explique que se podría hacer para mejorar.","¿Te gustaría que se creara un equipo de futbol Sala Sénior en el pueblo de Antas, junto a una estrategia en las escuelas deportivas para educar a los jóvenes en este deporte desde pequeños?"
31/07/2023 17:20:40,Sí,63 años,No,,Estoy en paro,toda la vida,Universitarios,5.000-10.000€,no,"si, algunos meses",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 50€,no,Bueno,Sí,nunca,Buena,Bueno,,no,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo",,,"Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)",,,el Antuso es muy trabajador y eso hace que las empresas se sientan cómodas en Antas,"no, montar una empresa es déficil en Antas y en cualquier sitio de España",Hay muchos trabajos y de buena calidad,"tranquilo, humilde, un pueblo prospero",,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","construcción de nuevos parques de vivienda, residencia de Ancianos, modernización de infraestructuras hidráulicas",Parque de viviendas ,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","construir monumentos estéticos, modernizar rotondas",,,la perdida de valores de la juventud,Creo que Antas debe crecer pero no demasiado,,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar",,"los últimos años ha mejorado, pero aun hay que animarlo más",,,
1/08/2023 12:13:56,Sí,26,No,Madrid,Sector tecnológico,mas de 10,Universitarios,5.000-10.000€,no,"no llego a final de mes, pero me gustaría ahorrar",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 50€,"si, a todos",Bueno,Sí,1-2 veces por semana,Mala,Regular,,si,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo",,,"Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc)",,,buenas políticas municipales (ej: construcción de polígonos),"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, seguro, tradicional, humilde, un pueblo unido, un pueblo prospero",,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, construcción de nuevos parques de vivienda, modernización de infraestructuras hidráulicas",construcción de vivienda,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","Pintar las casas con una armonía de tonalidades de color, Mayor decoración verde y arboleada, construir monumentos estéticos, modernizar rotondas",,,la necesidad de una estrategia de crecimiento poblacional eficaz,"si, Antas debería ser un pueblo grande e importante en la comarca",,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar",,"los últimos años ha mejorado, pero aun hay que animarlo más",,,
7/08/2023 13:32:08,Sí,43,No,Vera,funcionario,,Grado medio,30.000-40.000€,no,"si, algunos meses",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 50€,no,Bueno,Sí,3-4 veces por semana,Buena,Bueno,Resido en otro municipio ,no,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",indiferente,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida","carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",el antuso tiene una mentalidad muy emprendedora,"no, montar una empresa es déficil en Antas y en cualquier sitio de España",Hay muchos trabajos y de buena calidad,"tranquilo, seguro, tradicional, humilde, bonito, envejecido, un pueblo unido",bueno,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, Pabellón, construcción de nuevos parques de vivienda, modernización de infraestructuras hidráulicas, mejora de las carreteras de comunicación con pedanías, mayor conexión de autobús con los pueblos del resto de la comarca",Nuevos parques de vivienda ,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero","Pintar las casas con una armonía de tonalidades de color, Mayor decoración verde y arboleada, Paredes con pinturas artísticas, modernización estética del puente viejo y nuevo, modernización de las calles de abajo, construir monumentos estéticos",Crear diversas figuras repartidas en el interior del pueblo (sobre todo casco histórico) relacionadas con la cultura argárica. Yo creo que ayudaría y sería motivo de visita al pueblo. Hacer una copia de Soportujar pero con estatuas/figuras que representen la cultura argárica. ,"Altas, creo que vamos a crecer mucho estas decadas",la necesidad de una estrategia de crecimiento poblacional eficaz,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
7/08/2023 13:44:17,Sí,58,Sí,,"profesiones manuales(electricista, fontanero, etc)",toda la vida,ESO,5.000-10.000€,no,"no llego a final de mes, pero me gustaría ahorrar",las administraciones deben reducirlos todos,más de 50€,"si, pero solo a los mas necesitados",Bueno,Sí,3-4 veces por semana,Buena,Bueno,si,si,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,indiferente,indiferente,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","no, destruirán trabajo y empobrecerán a la gente","Carreras tecnológicas (programadores, ingenieros, informaticos, etc), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",el Antuso es muy trabajador y eso hace que las empresas se sientan cómodas en Antas,"no, el ayuntamiento debería apoyar mas a los jóvenes emprendedores",Hay muchos trabajos y de buena calidad,"tranquilo, Animado, tradicional, humilde","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","construcción de nuevos parques de vivienda, residencia de Ancianos",,no sabría que decir,modernización de las calles de abajo,,"Bajas, no creo que cambien demasiado",la perdida de valores de la juventud,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"es un orgullo pertenecer a un pueblo con esta historia, hay que proteger la identidad","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 13:44:32,Sí,66,No,Málaga ,Empresario,,Universitarios,30.000-40.000€,no,"si, todos los meses",las administraciones deben reducir algunos,más de 150€,"si, pero solo a los mas necesitados",Bueno,No,5 o mas,Buena,Bueno,si,no,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","Si, se necesitan muchos mas espacios verdes y naturales","Si, nos harán mas productivos y facilitaran la vida","Carreras tecnológicas (programadores, ingenieros, informaticos, etc)","no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos y de buena calidad,"tranquilo, tradicional, dinamico, un pueblo prospero","bueno, pero puede mejorar","está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, Pabellón, modernización de infraestructuras hidráulicas",,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",Mayor decoración verde y arboleada,,"Altas, creo que vamos a crecer mucho estas decadas",el suministro de Agua cada vez mas caro para el riego,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"es un orgullo pertenecer a un pueblo con esta historia, hay que proteger la identidad","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,,
7/08/2023 13:46:02,Me vine de niño o adolescente,46,No,Almería ,administrativo,mas de 30,Universitarios,30.000-40.000€,"si, pero pequeñas","si, algunos meses",si se gestionases bien y me ofrecen buenos servicios publicos estaría dispuesto a pagar más,más de 50€,"si, a todos",Bueno,No,1-2 veces por semana,Buena,Bueno,si,no,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",tienen que sustituir a los de gasolina,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa","Si, se necesitan muchos mas espacios verdes y naturales",estoy confuso con este tema,"oposiciones (funcionariado), Carreras tecnológicas (programadores, ingenieros, informaticos, etc), Carreras sociales (abogados, asistentes sociales, psicólogos, sociólogos, periodistas, etc), emprendimiento empresarial, carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc), Carreras tradicionales ( Arquitectura, medicina, etc), carreras humanísticas (músicos, pintores, deportistas, etc)","no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el antuso tiene una mentalidad muy emprendedora,"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos y de buena calidad,"tranquilo, tradicional, humilde, bonito, dinamico, un pueblo unido, un pueblo prospero","bueno, pero puede mejorar","está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, Pabellón, construcción de nuevos parques de vivienda, residencia de Ancianos, teatro, parques y espacios verdes con agua, mejora de infraestructuras tecnológica, modernización de infraestructuras hidráulicas, rutas de senderismo, mejora de las carreteras de comunicación con pedanías, mayor conexión de autobús con los pueblos del resto de la comarca",Vivienda ,no sabría que decir,"Mayor decoración verde y arboleada, Paredes con pinturas artísticas, modernización estética del puente viejo y nuevo, modernización de las calles de abajo, modernizar rotondas",,"Altas, creo que vamos a crecer mucho estas decadas",La seguridad,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 13:52:27,Sí,50,No,Barcelona,funcionario,mas de 30,Universitarios,40.000-50.000€,no,,las administraciones deben reducirlos todos,más de 50€,"si, pero solo a los mas necesitados",Excelente,No,5 o mas,excelente,Bueno,si,no,"No, pero creo que hoy día se va por cualquier cosa",no,Es una mentira de la televisión,"si, cada verano hace mas calor y es totalmente necesaria",estoy en contra de ellos,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más",estoy confuso con este tema,"Carreras tecnológicas (programadores, ingenieros, informaticos, etc), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc), carreras humanísticas (músicos, pintores, deportistas, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",el antuso tiene una mentalidad muy emprendedora,"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos y de buena calidad,"tranquilo, Animado, tradicional, rico, humilde, bonito, dinamico, juvenil, un pueblo unido, un pueblo prospero",bueno,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, Pabellón, residencia de Ancianos, rutas de senderismo, mayor conexión de autobús con los pueblos del resto de la comarca",Panellón,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",Mayor decoración verde y arboleada,,"Altas, creo que vamos a crecer mucho estas decadas",el suministro de Agua cada vez mas caro para el riego,"no, Antas es un pueblo pequeño y tranquilo y debe seguir siendo así",si,"es un orgullo pertenecer a un pueblo con esta historia, hay que proteger la identidad",creo que las inversiones actuales son adecuadas,"No, tal y como está hay un buen equilibrio calidad-gasto",considero que es un pueblo muy animado,si,Si,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 13:53:16,Me vine ya de adulto,37,No,En cuevas del Almanzora ,administrativo,mas de 10,Universitarios,10.000-18.000€,no,"si, algunos meses",las administraciones deben reducir algunos,más de 100€,"si, a todos",Bueno,No,3-4 veces por semana,Buena,Bueno,"No tenemos urgencias, y el teléfono para que lo cojan me las veo y me las deseo",si,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,indiferente,indiferente,una mezcla de las dos.,esas cuestiones son asuntos de la junta y el gobierno central,"No, se debería modernizar el estado de los contenedores y realizar una estrategia mas intensa","si, se necesita algún que otro espacio verde más","no, destruirán trabajo y empobrecerán a la gente","Carreras tecnológicas (programadores, ingenieros, informaticos, etc), carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc)","si, somos un pueblo con pleno empleo","Si, los servicios de comunicación son adecuados",buenas políticas municipales (ej: construcción de polígonos),"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"Animado, seguro, tradicional, rico, bonito, un pueblo unido",bueno,"está bien, pero falta algunas infraestructuras clave para que el pueblo crezca","piscina pública, Pabellón, rutas de senderismo",Pabellón ,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",modernización de las calles de abajo,,"Altas, creo que vamos a crecer mucho estas decadas",la necesidad de una estrategia de crecimiento poblacional eficaz,Creo que Antas debe crecer pero no demasiado,si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural",creo que las inversiones actuales son adecuadas,"No, tal y como está hay un buen equilibrio calidad-gasto",considero que es un pueblo muy animado,si,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 13:59:20,Sí,50,Sí,,Empresario,toda la vida,ESO,10.000-18.000€,"si, pero pequeñas","si, todos los meses",las administraciones deben reducir algunos,más de 100€,"si, a todos",Regular,No,3-4 veces por semana,Regular,Regular,si,no,"No, todos deberíamos ir alguna vez",si,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",tienen que sustituir a los de gasolina,construcción de desaladoras,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más",estoy confuso con este tema,"Carreras tecnológicas (programadores, ingenieros, informaticos, etc)","no, pero vamos por el buen camino","no, se necesita mas medios de comunicación públicos",el Antuso es muy trabajador y eso hace que las empresas se sientan cómodas en Antas,"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos pero gran parte de ellos son de mala calidad,tranquilo,bueno,"Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Pabellón, residencia de Ancianos",,"si, creo que se debería hacer mas encuestas e incluso votaciones por internet sobre en lo que el pueblo quiere que se gaste el dinero",Paredes con pinturas artísticas,,"Altas, creo que vamos a crecer mucho estas decadas",Los conflictos por pleitos de propiedad entre vecinos,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"es un orgullo pertenecer a un pueblo con esta historia, hay que proteger la identidad",creo que las inversiones actuales son adecuadas,"No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,,"sí, debe tomarse una estrategia integral para que Antas destaque en el futbol sala"
7/08/2023 14:09:17,Sí,55,,Me da igual ,Agrícola,toda la vida,ESO,10.000-18.000€,no,"no llego a final de mes, pero me gustaría ahorrar",las administraciones deben reducir algunos,más de 50€,"si, pero solo a los mas necesitados",Excelente,No,3-4 veces por semana,Regular,Bueno,no,no,"No, todos deberíamos ir alguna vez",no,Es un problema que debemos afrontar entre todos,"si, cada verano hace mas calor y es totalmente necesaria",indiferente,una mezcla de las dos.,"si, debe articular una estrategia a corto, medio y largo plazo","si, son adecuadas, siguen la lógica del resto de pueblos vecinos","si, se necesita algún que otro espacio verde más","Si, nos harán mas productivos y facilitaran la vida","Carreras sociales (abogados, asistentes sociales, psicólogos, sociólogos, periodistas, etc), emprendimiento empresarial, carreras de trabajo manual (mecánico, fontanero, peluquero, camarero, etc), Carreras tradicionales ( Arquitectura, medicina, etc)","no, pero vamos por el buen camino","Si, los servicios de comunicación son adecuados",el antuso tiene una mentalidad muy emprendedora,"si, gracias a que tenemos muy buenas infraestructuras como los dos polígonos",Hay muchos trabajos pero gran parte de ellos son de mala calidad,"tranquilo, tradicional, humilde, un pueblo unido, un pueblo prospero","bueno, pero puede mejorar","Escaso, aun faltan muchas infraestructuras para ser un pueblo moderno","Pabellón, construcción de nuevos parques de vivienda, mejora de infraestructuras tecnológica",Construcción de nuevos parques de  vivienda ,,,Pabellón polideportivo ,"Altas, creo que vamos a crecer mucho estas decadas",la necesidad de una estrategia de crecimiento poblacional eficaz,"si, Antas debería ser un pueblo grande e importante en la comarca",si,"no solo es un orgullo, además tenemos que sacar el máximo provecho económico y social a ese activo cultural","si, es una oportunidad para dar a conocer nuestro pueblo y hacerlo evolucionar","No, tal y como está hay un buen equilibrio calidad-gasto","los últimos años ha mejorado, pero aun hay que animarlo más",si,Si ,"no, las escuelas deportivas deben seguir apostando por el futbol 7"
