"Año";"Periodo";"Número de habitantes"
"2003";"Año";"3.026"
"2004";"Año";"3.101"
"2005";"Año";"3.223"
"2006";"Año";"3.157"
"2007";"Año";"3.244"
"2008";"Año";"3.389"
"2009";"Año";"3.403"
"2010";"Año";"3.389"
"2011";"Año";"3.375"
"2012";"Año";"3.312"
"2013";"Año";"3.288"
"2014";"Año";"3.161"
"2015";"Año";"3.195"
"2016";"Año";"3.159"
"2017";"Año";"3.124"
"2018";"Año";"3.169"
"2019";"Año";"3.182"
"2020";"Año";"3.315"
"2021";"Año";"3.355"
"2022";"Año";"3.339"
;;
;;
"Métrica":"Número de habitantes"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/asi-cambiado-poblacion-municipio/4fa4a7b4-1875-4d3b-b922-d27dbf010a11/antas/968"
"Titulo":"Así ha cambiado la población en Antas﻿ "
"Subtitulo":""
